id,group_id,payer_id,description,amount,date,category
1,1,1,Renda de julho,800.00,2026-07-01,rent
2,1,2,Compras no Continente,86.40,2026-07-03,groceries
3,1,3,Internet MEO,35.00,2026-07-05,other
4,1,4,Botija de gás,27.50,2026-07-08,other
5,1,1,Compras no Pingo Doce,42.15,2026-07-12,groceries
6,1,2,Detergente e papel higiénico,18.90,2026-07-15,groceries
7,1,3,Conta da luz EDP,64.30,2026-07-20,other
8,1,4,Pizzas de sexta à noite,31.60,2026-07-25,fun
9,1,1,Renda de agosto,800.00,2026-08-01,rent
10,1,2,Compras no Continente,93.75,2026-08-04,groceries
11,1,3,Conta da água EPAL,22.10,2026-08-09,other
12,1,4,Lâmpadas no Leroy Merlin,12.99,2026-08-14,other
13,1,1,Jantar de anos da Inês,120.00,2026-08-19,fun
14,1,3,Uber para o IKEA,11.20,2026-08-22,transport
15,1,2,Café e pão para a casa,7.80,2026-08-27,groceries
16,1,4,Compras no Lidl,38.45,2026-08-29,groceries
17,2,5,Airbnb na Ericeira (2 noites),180.00,2026-08-07,fun
18,2,6,Gasolina,45.00,2026-08-08,transport
19,2,6,Portagens A8,10.00,2026-08-08,transport
20,2,7,Aluguer de pranchas,60.00,2026-08-08,fun
21,2,5,Jantar na tasca,30.00,2026-08-08,fun
22,2,7,Pastéis de nata na Ribeira,5.40,2026-08-09,fun
23,2,6,Almoço no Mar à Vista,54.90,2026-08-09,fun
24,2,5,Fatos de surf (aluguer),36.00,2026-08-09,fun
25,2,5,Gelados,9.60,2026-08-09,fun
26,2,7,Estacionamento na praia,3.50,2026-08-09,transport
27,2,6,Cervejas no Jogo da Bola,17.50,2026-08-09,fun
28,2,7,Portagens no regresso,10.00,2026-08-10,transport
29,3,8,Jantar no Zé dos Cornos,30.00,2026-08-25,fun
